00df,8,8c,ab,f2,26,7a,29,1a,0c,T
06ea,8,25,10,9c,ed,5b,16,2c,18,T
02fd,8,3f,bd,68,f3,c3,4f,28,d4,T
012d,8,35,45,99,cf,09,80,c7,77,T
033a,8,1c,04,86,90,7f,08,7e,c9,T
039f,8,0e,2c,1c,49,e7,58,f6,6d,T
07e3,8,7e,67,f3,ce,18,db,45,23,T
0491,8,57,b5,20,cc,ad,83,d4,ef,T
0522,8,04,72,b8,73,8c,bc,1a,79,T
02fd,8,02,fd,0b,1b,94,54,94,54,T
078d,8,e2,de,65,c0,d6,23,41,cb,T
0330,8,0c,ec,a4,b6,c0,5a,32,23,T
0494,8,de,49,93,66,cf,6a,0d,4c,T
07b3,8,a6,22,29,93,2a,dc,8e,35,T
02dc,8,0f,08,09,72,8c,14,47,49,T
0548,8,79,95,d8,ff,b1,d5,d4,e6,T
06de,8,b9,f0,97,b3,51,93,fa,dc,T
0384,8,f3,e0,6d,2f,64,57,a0,87,T
0424,8,50,e1,03,e5,77,06,af,92,T
0600,8,9f,f6,2b,44,18,d0,d3,ee,T
028f,8,94,b7,65,d4,24,e4,58,c0,T
074d,8,44,33,52,10,50,55,30,d4,T
0473,8,94,d9,3e,20,c9,1a,17,2c,T
0473,8,f5,56,13,05,d9,de,ef,0a,T
024c,8,4f,95,ef,a2,cf,71,ee,41,T
055b,8,25,6c,02,20,95,84,eb,6a,T
0267,8,6f,6e,d4,b1,e1,3f,5e,e6,T
0256,8,c8,00,cd,d6,8c,bc,e5,8f,T
05e4,8,bf,9e,d9,a1,fc,33,d0,ac,T
0202,8,0a,9f,06,3f,e8,18,da,a3,T
03a8,8,79,8f,ad,e4,8b,6f,b3,d5,T
07b9,8,5c,3d,fd,82,22,55,cc,39,T
05f5,8,53,48,a7,e3,96,55,7b,8b,T
0597,8,d9,b8,d3,cd,05,f0,c6,82,T
0259,8,cb,2f,23,8d,36,0f,83,c4,T
07fc,8,75,d7,2c,1f,4f,f5,e8,21,T
062c,8,f8,cb,d6,15,7f,ea,67,68,T
001a,8,d4,1d,85,01,3e,01,e9,0b,T
0367,8,bd,0f,f3,a2,8a,b7,6c,59,T
055b,8,c1,95,5a,00,7e,63,2c,54,T
03ac,8,fb,ec,0f,60,61,06,84,a1,T
065a,8,36,ca,28,6a,ef,08,7a,93,T
0342,8,6c,5b,d4,dc,d0,11,3e,57,T
0396,8,e5,e9,8b,f9,e1,49,d5,93,T
0347,8,9a,45,4a,16,cb,49,7d,6f,T
0164,8,39,12,e9,a6,09,86,33,39,T
0648,8,f9,00,aa,89,f4,d6,f4,6a,T
000a,8,00,44,59,45,85,ac,c1,43,T
043f,8,79,dd,92,ef,50,28,52,91,T
00e5,8,11,cd,c9,e1,5f,36,da,40,T
0391,8,4f,bf,e1,54,21,7b,43,51,T
05dd,8,6d,d7,46,66,6d,73,f3,4c,T
05e6,8,8f,b9,8e,3a,2e,43,bd,e4,T
0569,8,90,48,3b,f4,50,de,7a,85,T
0458,8,07,3e,64,20,82,d5,48,0d,T
042e,8,75,b8,c7,cb,bf,d7,db,19,T
0095,8,8f,9e,6d,ae,05,56,9d,6e,T
00f4,8,aa,d4,69,a4,1a,c8,8a,b8,T
05cd,8,41,b9,83,b5,c3,0b,3f,84,T
072d,8,db,fa,65,f9,ff,be,7f,1e,T
044b,8,62,85,9c,dc,15,e9,58,90,T
055c,8,6f,e7,b5,6b,36,ed,58,74,T
0752,8,43,43,da,b4,30,ed,10,4d,T
00dc,8,db,75,08,ec,b4,ad,ab,65,T
04da,8,48,1f,82,0b,ce,94,b1,6a,T
062c,8,01,1d,0f,4d,1b,83,53,3e,T
06c2,8,15,7d,9c,a1,dc,db,b4,54,T
0272,8,b6,35,ca,30,bb,ec,88,f0,T
06ca,8,81,21,08,5a,66,7c,80,ff,T
0127,8,e5,e1,fa,b1,49,6e,24,74,T
04bb,8,07,72,e0,58,9b,c5,37,27,T
075b,8,ee,19,e3,80,33,a3,d5,77,T
076c,8,75,e2,50,98,ef,db,a1,32,T
0133,8,a4,78,c6,d1,0e,91,47,69,T
001c,8,35,8f,6e,c3,d6,74,49,a4,T
019d,8,c9,7e,d0,0f,08,60,43,f0,T
056d,8,e2,8d,4b,53,7b,3a,65,f3,T
0429,8,67,47,12,4d,a7,81,2e,6a,T
02b1,8,5a,6f,4a,2c,14,bf,39,ad,T
02f4,8,0b,05,55,fe,e6,2d,b9,e2,T
02b8,8,7d,2c,51,d6,bd,46,92,b2,T
036f,8,b1,2a,f4,53,f4,50,d8,bc,T
03c6,8,4c,3a,e0,88,cf,8c,9e,dd,T
0740,8,14,20,42,c6,9a,0f,e8,13,T
064a,8,5f,0f,6e,61,9f,28,b0,4b,T
07a9,8,c7,7c,f2,06,8b,68,6f,f6,T
01aa,8,c6,06,26,38,ff,08,bf,c2,T
00f1,8,5c,88,e3,d9,78,71,1f,eb,T
002c,8,fc,79,ee,a1,bb,71,5d,a4,T
0644,8,bc,0d,31,76,81,4c,8b,f8,T
07dd,8,28,71,0c,48,e3,6f,1a,0b,T
032f,8,5f,18,ce,3f,1e,c5,ee,a1,T
03f8,8,1f,4a,d6,cf,ed,fc,3a,f5,T
07b4,8,ed,68,7a,c5,7c,32,6d,5c,T
06c2,8,d8,b7,42,c0,9d,97,16,48,T
0283,8,92,da,b7,72,4a,24,70,06,T
06a5,8,8f,23,55,1e,46,92,d1,5f,T
0467,8,3a,74,28,49,be,36,2e,fb,T
04bd,8,9a,f3,25,c7,67,ef,57,e4,T
01d4,8,de,57,0d,b7,be,57,ec,3f,T
00eb,8,cc,e6,f1,89,bc,05,66,e8,T
05a0,8,2a,3c,b5,88,6c,14,72,f4,T
0726,8,44,a2,86,6d,5d,c3,e3,26,T
0042,8,a3,93,d1,b4,0b,c1,5d,70,T
050b,8,d0,33,b0,ae,a2,26,4e,95,T
02da,8,a6,a1,53,5b,c4,8a,2f,82,T
0105,8,fc,60,5a,5e,94,0d,68,a9,T
0274,8,d8,bd,d2,77,97,09,aa,63,T
0432,8,45,3c,96,02,f8,6b,1d,e6,T
05e2,8,a1,00,03,21,59,e9,9a,2e,T
038a,8,12,11,0b,e2,14,d6,f5,6e,T
017d,8,05,a6,84,48,39,6d,17,41,T
0427,8,12,4d,d9,13,1b,59,b4,c9,T
04ed,8,06,21,b9,7f,06,3a,19,68,T
03dd,8,cb,92,46,0b,31,85,bb,62,T
056c,8,49,22,d9,79,2c,83,4e,e4,T
0575,8,d7,0a,f9,ef,2b,1a,a1,8e,T
067d,8,0c,62,00,11,cd,fa,7b,ed,T
0376,8,57,18,43,c9,51,9e,95,03,T
02a2,8,b0,e3,99,b7,38,9c,fc,55,T
011b,8,e4,62,55,e0,33,8c,83,2f,T
0489,8,d8,f8,64,23,66,47,2b,86,T
015b,8,88,61,3a,65,1b,1a,14,a2,T
07c2,8,d5,0a,de,53,b7,52,19,b1,T
0015,8,f0,2a,70,b6,87,d9,cd,84,T
07d3,8,dd,3f,3a,ed,13,3f,89,dc,T
0284,8,8c,01,54,ab,fe,4b,28,17,T
0240,8,ad,06,c9,30,e4,e4,8a,b8,T
0722,8,0d,df,b1,bd,6a,bf,98,86,T
0347,8,08,7e,ba,05,8a,15,0c,47,T
04f1,8,aa,fd,9a,31,08,7d,27,b4,T
05f2,8,ac,10,db,02,e3,c6,ed,73,T
02ae,8,45,0b,3d,b8,ce,03,67,a1,T
067e,8,66,3d,65,57,ba,96,d5,3b,T
05ee,8,6a,8a,49,9e,37,9b,7b,d8,T
01fd,8,55,51,61,fa,92,d9,4b,b3,T
003f,8,2f,f5,ed,f6,63,cc,f1,6e,T
008d,8,03,de,96,75,11,54,96,04,T
