0002,8,00,00,00,00,00,01,07,15,R
0153,8,00,21,10,ff,00,ff,00,00,R
0130,8,19,80,00,ff,fe,7f,07,60,R
0131,8,17,80,00,00,65,7f,07,9f,R
0140,8,00,00,00,00,02,20,27,a8,R
0350,8,05,20,14,68,78,00,00,21,R
02c0,8,15,00,00,00,00,00,00,00,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,8c,09,00,R
0440,8,ff,00,00,00,ff,8c,09,00,R
04f0,8,00,00,00,80,00,67,d1,13,R
0316,8,05,21,28,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,71,05,R
02a0,8,04,00,99,1d,97,02,bd,00,R
0329,8,0c,b8,7f,14,11,20,00,14,R
0545,8,d8,55,00,8c,00,00,00,00,R
02b0,5,ff,7f,00,05,7a,R
0430,8,00,00,00,00,00,00,00,00,R
04b1,8,29,27,27,23,00,00,00,9a,R
01f1,8,08,00,00,00,00,00,00,00,R
0153,8,00,21,10,ff,00,ff,00,00,R
0002,8,00,00,00,00,00,01,08,ae,R
00a0,8,58,82,28,0a,00,1f,02,00,R
00a1,8,7e,8a,00,00,22,00,00,00,R
0350,8,05,20,24,68,78,00,00,11,R
02c0,8,15,00,00,00,00,00,00,00,R
0130,8,1f,80,00,ff,f7,7f,08,8b,R
0131,8,17,80,00,00,68,7f,08,a1,R
0140,8,00,00,00,00,04,22,28,8e,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,8b,09,00,R
0440,8,ff,00,00,00,ff,8b,09,00,R
0690,8,00,00,01,00,a0,02,00,00,R
0316,8,05,21,28,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,70,17,R
02a0,8,24,00,99,1d,97,02,bd,00,R
0329,8,40,b8,7f,14,11,20,00,14,R
0545,8,d8,00,00,8a,00,00,00,00,R
02b0,5,ff,7f,00,05,6b,R
0002,8,00,00,00,00,00,01,09,b3,R
0153,8,00,21,10,ff,00,ff,00,00,R
0130,8,1e,80,00,ff,05,80,09,01,R
0131,8,fb,7f,00,00,54,7f,09,3c,R
0140,8,00,00,00,00,06,26,29,bd,R
0350,8,05,20,34,68,78,00,00,01,R
02c0,8,15,00,00,00,00,00,00,00,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,8d,09,00,R
0440,8,ff,00,00,00,ff,8d,09,00,R
04f0,8,00,00,00,80,00,67,d1,13,R
0316,8,05,21,28,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,70,28,R
02a0,8,44,00,99,1d,97,02,bd,00,R
0329,8,40,b8,7f,14,11,20,00,14,R
0545,8,d8,00,00,89,00,00,00,00,R
02b0,5,ff,7f,00,05,1c,R
0430,8,00,00,00,00,00,00,00,00,R
04b1,8,29,27,27,23,00,00,00,9a,R
01f1,8,08,00,00,00,00,00,00,00,R
0153,8,00,21,10,ff,00,ff,00,00,R
0002,8,00,00,00,00,00,01,0a,94,R
0350,8,05,20,44,68,78,00,00,71,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,8d,09,00,R
02c0,8,15,00,00,00,00,00,00,00,R
0130,8,15,80,00,ff,1d,80,0a,07,R
0131,8,db,7f,00,00,34,7f,0a,24,R
0140,8,00,00,00,00,08,25,2a,47,R
0440,8,ff,00,00,00,ff,8d,09,00,R
0316,8,05,21,28,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,70,39,R
02a0,8,64,00,99,1d,97,02,bd,00,R
0329,8,40,b8,7f,14,11,20,00,14,R
0545,8,d8,00,00,8a,00,00,00,00,R
05f0,2,00,00,R
02b0,5,ff,7f,00,05,0d,R
0002,8,00,00,00,00,00,01,0b,89,R
0153,8,00,21,10,ff,00,ff,00,00,R
0130,8,10,80,00,ff,1d,80,0b,2e,R
0131,8,e9,7f,00,00,25,7f,0b,c2,R
0140,8,00,00,00,00,0a,20,2b,38,R
0350,8,05,20,54,68,78,00,00,61,R
02c0,8,15,00,00,00,00,00,00,00,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,8c,09,00,R
0440,8,ff,00,00,00,ff,8c,09,00,R
04f0,8,00,00,00,80,00,67,d1,13,R
0316,8,05,21,24,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,70,06,R
02a0,8,04,00,99,1d,97,02,bd,00,R
0329,8,40,b8,7f,14,11,20,00,14,R
0545,8,d8,55,00,8b,00,00,00,00,R
02b0,5,ff,7f,00,05,3e,R
0430,8,00,00,00,00,00,00,00,00,R
04b1,8,29,27,27,23,00,00,00,9a,R
01f1,8,08,00,00,00,00,00,00,00,R
0153,8,00,21,10,ff,00,ff,00,00,R
0002,8,00,00,00,00,00,01,0c,da,R
0350,8,05,20,64,68,78,00,00,51,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,8a,09,00,R
0130,8,0f,80,00,ff,0b,80,0c,85,R
0131,8,fb,7f,00,00,2d,7f,0c,9e,R
0140,8,00,00,00,00,0c,20,2c,6e,R
02c0,8,15,00,00,00,00,00,00,00,R
0440,8,ff,00,00,00,ff,8a,09,00,R
0316,8,05,21,24,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,72,15,R
02a0,8,24,00,99,1d,97,02,bd,00,R
0329,8,40,b8,7f,14,11,20,00,14,R
0545,8,d8,00,00,8a,00,00,00,00,R
02b0,5,ff,7f,00,05,2f,R
0002,8,00,00,00,00,00,01,0d,c7,R
0153,8,00,21,10,ff,00,ff,00,00,R
0130,8,0b,80,00,ff,05,80,0d,f8,R
0131,8,f2,7f,00,00,41,7f,0d,56,R
0140,8,00,00,00,00,0e,25,2d,11,R
0350,8,05,20,74,68,78,00,00,41,R
02c0,8,15,00,00,00,00,00,00,00,R
0370,8,00,20,00,00,00,00,00,00,R
043f,8,10,40,60,ff,7d,88,09,00,R
0440,8,ff,00,00,00,ff,88,09,00,R
04f0,8,00,00,00,80,00,67,d1,13,R
0316,8,05,21,24,0a,21,1e,00,6f,R
018f,8,fe,57,00,00,00,41,00,00,R
0260,8,18,21,21,30,08,8f,72,26,R
02a0,8,44,00,99,1d,97,02,bd,00,R
0329,8,40,b8,7f,14,11,20,00,14,R
0545,8,d8,00,00,8b,00,00,00,00,R
02b0,5,ff,7f,00,05,d0,R
0430,8,00,00,00,00,00,00,00,00,R
04b1,8,29,27,27,23,00,00,00,9a,R
01f1,8,08,00,00,00,00,00,00,00,R
0153,8,00,21,10,ff,00,ff,00,00,R
0002,8,00,00,00,00,00,01,0e,e0,R
